PCAP Date,LP Short Name,Field Num,Field, Amount 
6/30/2024,Gabbana,1,Beginning Capital Balance,166637
6/30/2024,Gabbana,2,Capital Calls,60000
6/30/2024,Gabbana,5,Distributions (Principal),0
6/30/2024,Gabbana,6,Distributions (Income),-1238
6/30/2024,Gabbana,7,Interest Income,7728
6/30/2024,Gabbana,8,Realized Gain / (Loss),0
6/30/2024,Gabbana,9,Unrealized Gain / (Loss),0
6/30/2024,Gabbana,10,Investment Expenses,-257
6/30/2024,Gabbana,11,Management Fees,-654
6/30/2024,Gabbana,13,Realized Carried Interest,-310
6/30/2024,Gabbana,14,Unrealized Carried Interest,-896
6/30/2024,Gabbana,15,Fund Expenses,-291
6/30/2024,Gabbana,16,Ending Capital Balance,230719
6/30/2024,Peter Piper,1,Beginning Capital Balance,333273
6/30/2024,Peter Piper,2,Capital Calls,"120,000"
6/30/2024,Peter Piper,5,Distributions (Principal),0
6/30/2024,Peter Piper,6,Distributions (Income),"-2,476"
6/30/2024,Peter Piper,7,Interest Income,15456
6/30/2024,Peter Piper,8,Realized Gain / (Loss),0
6/30/2024,Peter Piper,9,Unrealized Gain / (Loss),0
6/30/2024,Peter Piper,10,Investment Expenses,-514
6/30/2024,Peter Piper,11,Management Fees,"-1,308"
6/30/2024,Peter Piper,13,Realized Carried Interest,-619
6/30/2024,Peter Piper,14,Unrealized Carried Interest,"-1,792"
6/30/2024,Peter Piper,15,Fund Expenses,-582
6/30/2024,Peter Piper,16,Ending Capital Balance,461438
9/30/2024,Red Rose,1,Beginning Capital Balance,230719
9/30/2024,Red Rose,2,Capital Calls,"12,500"
9/30/2024,Red Rose,5,Distributions (Principal),0
9/30/2024,Red Rose,6,Distributions (Income),"-4,647"
9/30/2024,Red Rose,7,Interest Income,"7,693"
9/30/2024,Red Rose,8,Realized Gain / (Loss),0
9/30/2024,Red Rose,9,Unrealized Gain / (Loss),0
9/30/2024,Red Rose,10,Investment Expenses,-683
9/30/2024,Red Rose,11,Management Fees,-796
9/30/2024,Red Rose,13,Realized Carried Interest,"-1,162"
9/30/2024,Red Rose,14,Unrealized Carried Interest,88
9/30/2024,Red Rose,15,Fund Expenses,-126
9/30/2024,Red Rose,16,Ending Capital Balance,243586
9/30/2024,Berry Blues,1,Beginning Capital Balance,461438
9/30/2024,Berry Blues,2,Capital Calls,"25,000"
9/30/2024,Berry Blues,5,Distributions (Principal),0
9/30/2024,Berry Blues,6,Distributions (Income),"-9,294"
9/30/2024,Berry Blues,7,Interest Income,"15,387"
9/30/2024,Berry Blues,8,Realized Gain / (Loss),0
9/30/2024,Berry Blues,9,Unrealized Gain / (Loss),0
9/30/2024,Berry Blues,10,Investment Expenses,"-1,367"
9/30/2024,Berry Blues,11,Management Fees,-1593
9/30/2024,Berry Blues,13,Realized Carried Interest,"-2,323"
9/30/2024,Berry Blues,14,Unrealized Carried Interest,176
9/30/2024,Berry Blues,15,Fund Expenses,-253
9/30/2024,Berry Blues,16,Ending Capital Balance,487171
9/30/2024,Dolce,1,Beginning Capital Balance,3095352
9/30/2024,Dolce,2,Capital Calls,0
9/30/2024,Dolce,5,Distributions (Principal),"-221,117"
9/30/2024,Dolce,6,Distributions (Income),"-77,162"
9/30/2024,Dolce,7,Interest Income,"119,584"
9/30/2024,Dolce,8,Realized Gain / (Loss),0
9/30/2024,Dolce,9,Unrealized Gain / (Loss),0
9/30/2024,Dolce,10,Investment Expenses,-426
9/30/2024,Dolce,11,Management Fees,-14989
9/30/2024,Dolce,13,Realized Carried Interest,"-19,291"
9/30/2024,Dolce,14,Unrealized Carried Interest,-153
9/30/2024,Dolce,15,Fund Expenses,"-1,549"
9/30/2024,Dolce,16,Ending Capital Balance,"2,880,250"
9/30/2024,Indiana,1,Beginning Capital Balance,253845647
9/30/2024,Indiana,2,Capital Calls,0
9/30/2024,Indiana,5,Distributions (Principal),"-39,930,154"
9/30/2024,Indiana,6,Distributions (Income),"-6,769,787"
9/30/2024,Indiana,7,Interest Income,"9,045,759"
9/30/2024,Indiana,8,Realized Gain / (Loss),0
9/30/2024,Indiana,9,Unrealized Gain / (Loss),0
9/30/2024,Indiana,10,Investment Expenses,"-34,294"
9/30/2024,Indiana,11,Management Fees,"-889,829"
9/30/2024,Indiana,13,Realized Carried Interest,-1194668
9/30/2024,Indiana,14,Unrealized Carried Interest,"40,892"
